hydro_year,annual_discharge
1953,570.631421034502
1954,767.013630919734
1955,799.268734598705
1956,670.186461329844
1957,755.561983564798
1958,707.95128796185
1959,741.243348152164
1960,847.97066558014
1961,707.721286799985
1962,665.548581538986
1963,645.882530093233
1964,735.106165442164
1965,678.110367110853
1966,726.505417886954
1967,726.309014676661
1968,797.883488547844
1969,796.814631649288
1970,587.719326673858
1971,770.943031233121
1972,884.727694777001
1973,616.744716934899
1974,813.549559885081
1975,672.875888057212
1976,923.973205417613
1977,611.59356030383
1978,646.750018876707
1979,567.421350813466
1980,597.99315514596
1981,854.164374083383
1982,904.346109166602
1983,847.686207250844
1984,794.671240203865
1985,684.709007880068
1986,677.52036661825
1987,633.048171442808
1988,627.524387250221
1989,694.166038074936
1990,838.755684180744
1991,738.219782709022
1992,600.919506029343
1993,610.678982751525
1994,678.541371124869
1995,610.251540687705
1999,955.810473568284
2000,813.950202201612
2001,633.662794701834
2002,757.987297980216
2003,577.784264017957
2004,653.687464490735
2005,792.563942360267
2006,707.124077195884
2007,646.594750909385
2008,716.700104379072
2009,581.492334739936
2010,547.934360720416
2011,740.198480951282
2012,840.157196173611
2013,687.388766567495
2014,751.848361626501
2015,758.001960212391
2016,775.344996454096
2017,842.505529114994
2018,686.584808269628
2019,657.250923232994
2020,940.929270850401
2021,677.91272282761
2022,856.743741200681
2023,492.062349588464
